epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,428.691,1.12157,0.63217,1.23303,0.67759,0.83333,0.84902,0.66839,0.9625,1.44997,1.8457,0.000125935,0.000125935,0.000125935
41,438.218,0.73313,0.55268,1.35505,0.65454,0.83333,0.85081,0.6694,0.95215,1.42086,1.88141,0.000127082,0.000127082,0.000127082
42,447.614,0.38528,0.41237,1.16432,0.65454,0.83333,0.85081,0.6694,0.95215,1.42086,1.88141,0.000128124,0.000128124,0.000128124
43,457.319,0.66338,0.55005,1.00814,0.64466,0.83333,0.8578,0.67292,0.95699,1.41056,1.88229,0.000129061,0.000129061,0.000129061
44,467.782,0.84612,0.55291,1.16992,0.64466,0.83333,0.8578,0.67292,0.95699,1.41056,1.88229,0.000129895,0.000129895,0.000129895
45,478.72,0.88945,0.57547,0.91805,0.64417,0.83333,0.85511,0.67408,0.95122,1.41373,1.88271,0.000130625,0.000130625,0.000130625
46,489.264,0.85259,0.57264,1.2541,0.64417,0.83333,0.85511,0.67408,0.95122,1.41373,1.88271,0.00013125,0.00013125,0.00013125
47,500.139,0.47714,0.44829,0.97601,0.64189,0.83333,0.858,0.67587,0.94394,1.4178,1.88304,0.000131771,0.000131771,0.000131771
48,511.088,0.86751,0.59958,1.36041,0.64189,0.83333,0.858,0.67587,0.94394,1.4178,1.88304,0.000132189,0.000132189,0.000132189
49,521.934,0.82313,0.55196,1.53785,0.64026,0.83333,0.85811,0.676,0.94174,1.39622,1.83398,0.000132502,0.000132502,0.000132502
50,532.655,0.66914,0.5273,1.16595,0.64026,0.83333,0.85811,0.676,0.94174,1.39622,1.83398,0.00013271,0.00013271,0.00013271
51,543.488,0.62804,0.46526,1.02312,0.6431,0.83333,0.85546,0.67449,0.93684,1.39011,1.806,0.000132815,0.000132815,0.000132815
52,552.886,0.54195,0.45483,1.14764,0.6431,0.83333,0.85546,0.67449,0.93684,1.39011,1.806,0.000132816,0.000132816,0.000132816
53,562.458,0.70392,0.50356,1.1603,0.6431,0.83333,0.85546,0.67449,0.93684,1.39011,1.806,0.000132712,0.000132712,0.000132712
54,572.118,0.8953,0.56308,1.39135,0.64836,0.83333,0.85599,0.67501,0.91503,1.35289,1.78512,0.000132504,0.000132504,0.000132504
55,581.409,0.60745,0.47155,1.2061,0.64836,0.83333,0.85599,0.67501,0.91503,1.35289,1.78512,0.000132192,0.000132192,0.000132192
56,590.981,0.51669,0.44533,1.1462,0.64836,0.83333,0.85599,0.67501,0.91503,1.35289,1.78512,0.000131776,0.000131776,0.000131776
57,600.568,0.82565,0.56092,1.32401,0.6492,0.83333,0.85629,0.67533,0.91542,1.35504,1.76063,0.000131256,0.000131256,0.000131256
58,609.838,0.82106,0.53138,1.29067,0.6492,0.83333,0.85629,0.67533,0.91542,1.35504,1.76063,0.000130632,0.000130632,0.000130632
59,619.052,0.74438,0.48926,1.02634,0.6492,0.83333,0.85629,0.67533,0.91542,1.35504,1.76063,0.000129903,0.000129903,0.000129903
60,628.926,0.7913,0.55957,1.58692,0.64993,0.83333,0.85944,0.66893,0.91763,1.39285,1.73877,0.00012907,0.00012907,0.00012907
61,638.323,0.86617,0.54039,1.43952,0.64993,0.83333,0.85944,0.66893,0.91763,1.39285,1.73877,0.000128134,0.000128134,0.000128134
62,647.756,0.83625,0.48692,0.95037,0.64993,0.83333,0.85944,0.66893,0.91763,1.39285,1.73877,0.000127093,0.000127093,0.000127093
63,657.341,0.79133,0.55281,1.35064,0.74235,0.83333,0.84919,0.63014,0.96184,1.44711,1.67038,0.000125948,0.000125948,0.000125948
64,666.637,0.80776,0.53313,1.28315,0.74235,0.83333,0.84919,0.63014,0.96184,1.44711,1.67038,0.000124698,0.000124698,0.000124698
65,675.921,0.79133,0.60587,1.89714,0.74235,0.83333,0.84919,0.63014,0.96184,1.44711,1.67038,0.000123345,0.000123345,0.000123345
66,685.423,0.74288,0.54232,1.43221,0.80662,0.83333,0.84737,0.65065,0.91296,1.41646,1.60972,0.000121887,0.000121887,0.000121887
67,694.647,0.86277,0.61708,1.07849,0.80662,0.83333,0.84737,0.65065,0.91296,1.41646,1.60972,0.000120326,0.000120326,0.000120326
68,704.015,0.84816,0.6833,1.48652,0.80662,0.83333,0.84737,0.65065,0.91296,1.41646,1.60972,0.00011866,0.00011866,0.00011866
69,713.487,0.77341,0.5375,1.24467,0.82031,0.5,0.67145,0.54599,0.87666,1.36854,1.5993,0.00011689,0.00011689,0.00011689
70,722.667,0.60531,0.39011,1.17201,0.82031,0.5,0.67145,0.54599,0.87666,1.36854,1.5993,0.000115016,0.000115016,0.000115016
71,731.96,0.8026,0.52967,1.33417,0.82031,0.5,0.67145,0.54599,0.87666,1.36854,1.5993,0.000113037,0.000113037,0.000113037
72,741.515,0.69974,0.46746,1.16016,0.82049,0.5,0.67464,0.54879,0.86703,1.35499,1.59031,0.000110955,0.000110955,0.000110955
73,750.726,0.77964,0.49637,1.42641,0.82049,0.5,0.67464,0.54879,0.86703,1.35499,1.59031,0.000108768,0.000108768,0.000108768
74,760.195,0.63425,0.53549,1.21287,0.82049,0.5,0.67464,0.54879,0.86703,1.35499,1.59031,0.000106478,0.000106478,0.000106478
75,769.839,0.74567,0.49755,1.10552,0.8214,0.5,0.8425,0.65006,0.86684,1.33946,1.58274,0.000104083,0.000104083,0.000104083
76,779.05,0.76908,0.53076,1.27287,0.8214,0.5,0.8425,0.65006,0.86684,1.33946,1.58274,0.000101584,0.000101584,0.000101584
77,789.012,0.6091,0.43671,1.10268,0.8214,0.5,0.8425,0.65006,0.86684,1.33946,1.58274,9.89806e-05,9.89806e-05,9.89806e-05
78,798.843,0.83428,0.55539,1.36567,0.82232,0.5,0.84958,0.65625,0.86273,1.34631,1.58009,9.62733e-05,9.62733e-05,9.62733e-05
79,808.371,0.68307,0.51687,1.44011,0.82232,0.5,0.84958,0.65625,0.86273,1.34631,1.58009,9.34618e-05,9.34618e-05,9.34618e-05
80,817.929,0.58972,0.42128,1.05589,0.82232,0.5,0.84958,0.65625,0.86273,1.34631,1.58009,9.05462e-05,9.05462e-05,9.05462e-05
81,827.645,0.79655,0.49242,1.08466,0.82248,0.5,0.85262,0.66786,0.85788,1.36064,1.57154,8.75264e-05,8.75264e-05,8.75264e-05
82,837.097,0.83543,0.52461,1.28712,0.82248,0.5,0.85262,0.66786,0.85788,1.36064,1.57154,8.44025e-05,8.44025e-05,8.44025e-05
83,846.707,0.7029,0.48919,1.03637,0.82248,0.5,0.85262,0.66786,0.85788,1.36064,1.57154,8.11744e-05,8.11744e-05,8.11744e-05
84,856.286,0.77515,0.54147,1.48193,0.82418,0.5,0.85667,0.6715,0.85872,1.36627,1.57315,7.78422e-05,7.78422e-05,7.78422e-05
85,865.645,0.66455,0.4407,1.22165,0.82418,0.5,0.85667,0.6715,0.85872,1.36627,1.57315,7.44059e-05,7.44059e-05,7.44059e-05
86,875.203,0.68972,0.50373,1.43384,0.82418,0.5,0.85667,0.6715,0.85872,1.36627,1.57315,7.08654e-05,7.08654e-05,7.08654e-05
87,884.745,0.58369,0.42599,0.9933,0.82418,0.5,0.85667,0.6715,0.85872,1.36627,1.57315,6.72207e-05,6.72207e-05,6.72207e-05
88,894.493,0.68432,0.4704,1.52045,0.82374,0.5,0.85667,0.6715,0.86842,1.37054,1.58026,6.34719e-05,6.34719e-05,6.34719e-05
89,903.82,0.67502,0.46232,1.08222,0.82374,0.5,0.85667,0.6715,0.86842,1.37054,1.58026,5.96189e-05,5.96189e-05,5.96189e-05
90,913.3,0.96884,0.57563,1.32054,0.82374,0.5,0.85667,0.6715,0.86842,1.37054,1.58026,5.56618e-05,5.56618e-05,5.56618e-05
91,922.803,0.67549,0.44174,1.25376,0.82374,0.5,0.85667,0.6715,0.86842,1.37054,1.58026,5.16006e-05,5.16006e-05,5.16006e-05
92,932.535,0.80147,0.49172,1.09432,0.82273,0.5,0.84958,0.65625,0.86158,1.34605,1.56388,4.74352e-05,4.74352e-05,4.74352e-05
93,942.225,0.66821,0.43907,1.30734,0.82273,0.5,0.84958,0.65625,0.86158,1.34605,1.56388,4.31657e-05,4.31657e-05,4.31657e-05
94,952.003,0.76622,0.47607,1.14797,0.82273,0.5,0.84958,0.65625,0.86158,1.34605,1.56388,3.8792e-05,3.8792e-05,3.8792e-05
95,961.503,0.70073,0.50027,1.29899,0.82273,0.5,0.84958,0.65625,0.86158,1.34605,1.56388,3.43141e-05,3.43141e-05,3.43141e-05
96,971.293,0.67014,0.46352,1.26974,0.76505,0.83333,0.84379,0.65118,0.86659,1.31278,1.56327,2.97322e-05,2.97322e-05,2.97322e-05
97,980.762,0.67745,0.42931,1.05676,0.76505,0.83333,0.84379,0.65118,0.86659,1.31278,1.56327,2.5046e-05,2.5046e-05,2.5046e-05
98,990.103,0.63484,0.48147,0.95431,0.76505,0.83333,0.84379,0.65118,0.86659,1.31278,1.56327,2.02557e-05,2.02557e-05,2.02557e-05
99,999.602,0.6943,0.46619,1.29059,0.76505,0.83333,0.84379,0.65118,0.86659,1.31278,1.56327,1.53613e-05,1.53613e-05,1.53613e-05
100,1009.23,0.66387,0.47936,1.42229,0.71522,0.83333,0.88083,0.67306,0.87542,1.25624,1.56222,1.03627e-05,1.03627e-05,1.03627e-05
