epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,144.24,0.74113,1.28129,1.33106,0.61369,1,0.8955,0.68234,0.78597,1.04521,1.32869,0.0003289,0.0003289,0.0003289
43,147.043,0.26542,3.79371,0.53355,0.61369,1,0.8955,0.68234,0.78597,1.04521,1.32869,0.000331212,0.000331212,0.000331212
44,149.822,0.7018,1.71699,1.27362,0.55753,1,0.995,0.80014,0.78237,1.11652,1.4449,0.000333261,0.000333261,0.000333261
45,153.757,0.62954,1.03223,1.04879,0.55753,1,0.995,0.80014,0.78237,1.11652,1.4449,0.000335045,0.000335045,0.000335045
46,157.634,0.70132,1.40359,1.07962,0.57304,0.99827,0.995,0.80084,0.83584,1.20597,1.47844,0.000336565,0.000336565,0.000336565
47,161.57,0.55953,0.98093,1.40451,0.57304,0.99827,0.995,0.80084,0.83584,1.20597,1.47844,0.000337821,0.000337821,0.000337821
48,165.389,0.66096,1.00236,1.14788,0.57326,0.93333,0.9785,0.79566,0.86163,1.24704,1.54392,0.000338813,0.000338813,0.000338813
49,168.242,0.55828,0.89895,1.09313,0.57326,0.93333,0.9785,0.79566,0.86163,1.24704,1.54392,0.00033954,0.00033954,0.00033954
50,171.032,0.46075,0.80705,1.0471,0.47876,0.93333,0.9785,0.7017,0.82524,1.14525,1.54162,0.000340004,0.000340004,0.000340004
51,173.767,0.48202,0.98682,1.27536,0.47876,0.93333,0.9785,0.7017,0.82524,1.14525,1.54162,0.000336835,0.000336835,0.000336835
52,176.519,0.50071,0.77485,1.12416,0.56048,0.93333,0.9686,0.73109,0.77026,1.13653,1.74869,0.000330232,0.000330232,0.000330232
53,179.302,0.6153,0.84101,1.12235,0.56048,0.93333,0.9686,0.73109,0.77026,1.13653,1.74869,0.000323628,0.000323628,0.000323628
54,182.077,0.5518,2.17165,1.09824,0.57824,0.93333,0.9686,0.74406,0.73212,1.22093,1.76739,0.000317025,0.000317025,0.000317025
55,184.799,0.55063,0.77408,1.23584,0.57824,0.93333,0.9686,0.74406,0.73212,1.22093,1.76739,0.000310422,0.000310422,0.000310422
56,187.495,0.65473,1.16886,0.99813,0.57985,0.93333,0.9686,0.74182,0.73387,1.25619,1.77925,0.000303818,0.000303818,0.000303818
57,190.452,0.84039,1.50664,1.39691,0.57985,0.93333,0.9686,0.74182,0.73387,1.25619,1.77925,0.000297215,0.000297215,0.000297215
